lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
211,527.5,5.818354223121739e-05,23273416892.486954,23271124951.945507
212,530.0,5.478352703818268e-05,21913410815.27307,21910971658.709587
213,532.5,5.1456624397219675e-05,20582649758.88787,20580078922.522648
214,535.0,4.8206787259195977e-05,19282714903.67839,19280027284.572155
215,537.5,4.503752165546147e-05,18015008662.18459,18012218520.159355
216,540.0,4.195190580894439e-05,16780762323.577757,16777883284.654785
217,542.5,3.8952609142513925e-05,15581043657.00557,15578088718.257343
218,545.0,3.604191114220398e-05,14416764456.881592,14413745992.594784
219,547.5,3.322172003592788e-05,13288688014.371153,13285617783.423754
220,550.0,3.0493591251271596e-05,12197436500.508638,12194325654.864645
221,552.5,2.785874561880813e-05,11143498247.523252,11140357341.753471
222,555.0,2.531808729014549e-05,10127234916.058195,10124073917.797956
223,557.5,2.287222134258839e-05,9148888537.035357,9145716838.29308
224,560.0,2.0521471044872777e-05,8208588417.949111,8205414847.18326
225,562.5,1.8265894760906933e-05,7306357904.362773,7303190739.247948
226,565.0,1.6105302470839725e-05,6442120988.33589,6438967969.141406
227,567.5,1.4039271891058449e-05,5615708756.42338,5612577099.931902
228,570.0,1.2067164176908825e-05,4826865670.76353,4823762084.659662
229,572.5,1.0188139194024233e-05,4075255677.609693,4072186375.271961
230,575.0,8.401170346145013e-06,3360468138.458005,3357438854.0911994
231,577.5,6.7050589492162115e-06,2682023579.686485,2679039583.7332954
232,580.0,5.098448143356763e-06,2039379257.342705,2036445372.11834
233,582.5,3.57983633601472e-06,1431934534.4058878,1429055149.9005663
234,585.0,2.147590171245394e-06,859036068.4981576,856215158.2970753
235,587.5,7.999570215899229e-07,319982808.63596916,317223945.9077749
236,590.0,-4.649229995225564e-07,-185969199.80902258,-188662826.3002624
237,592.5,-1.6490055055588825e-06,-659602202.223553,-662227772.1257911
238,595.0,-2.7543307842859993e-06,-1101732313.7143998,-1104287359.154111
239,597.5,-3.7830132230281544e-06,-1513205289.2112617,-1515687678.956493
240,600.0,-4.737231208896014e-06,-1894892483.5584056,-1897300407.3128045
241,602.5,-5.619217500063395e-06,-2247687000.025358,-2250018952.885631
242,605.0,-6.431250063206246e-06,-2572500025.2824984,-2574754792.3885217
243,607.5,-7.175643371324257e-06,-2870257348.5297027,-2872433989.9350834
244,610.0,-7.854740155348615e-06,-3141896062.139446,-3143993897.9272428
245,612.5,-8.470903602184625e-06,-3388361440.87385,-3390380036.5405245
246,615.0,-9.026509991155768e-06,-3610603996.462307,-3612543148.5903625
247,617.5,-9.523941760191253e-06,-3809576704.076501,-3811436426.3147173
248,620.0,-9.965580992541524e-06,-3986232397.0166097,-3988012906.3843603
249,622.5,-1.0353803314302787e-05,-4141521325.7211146,-4143223029.251829
250,625.0,-1.0690972192588771e-05,-4276388877.0355086,-4278012358.7719674
251,627.5,-1.097943362379578e-05,-4391773449.5183115,-4393319457.871357
252,630.0,-1.1221511201069593e-05,-4488604480.427837,-4490073915.907945
253,632.5,-1.1419501549791924e-05,-4567800619.91677,-4569194523.246654
254,635.0,-1.1575670119662938e-05,-4630268047.865175,-4631587588.479975
255,637.5,-1.1692247321757186e-05,-4676898928.702874,-4678145393.643117
256,640.0,-1.177142499877566e-05,-4708569999.510264,-4709744782.711405
257,642.5,-1.1815353216600257e-05,-4726141286.640102,-4727245878.621326
258,645.0,-1.1826137365180598e-05,-4730454946.072239,-4731490924.025748
259,647.5,-1.1805835556739478e-05,-4722334222.695791,-4723303240.976972
260,650.0,-1.1756456309275988e-05,-4702582523.710395,-4703486304.728151
261,652.5,-1.1679956503368397e-05,-4671982601.347359,-4672822926.852602
262,655.0,-1.1578239600329908e-05,-4631295840.131963,-4632074542.901888
263,657.5,-1.1453154109851926e-05,-4581261643.94077,-4581980599.855216
264,660.0,-1.1306492295373596e-05,-4522596918.149439,-4523258038.655062
265,662.5,-1.1139989105545686e-05,-4455995642.218274,-4456600867.175557
266,665.0,-1.0955321320307512e-05,-4382128528.123005,-4382679819.030327
267,667.5,-1.0754106900266441e-05,-4301642760.106577,-4302142093.695116
268,670.0,-1.0537904528258471e-05,-4215161811.3033886,-4215611173.495931
269,672.5,-1.0308213332174173e-05,-4123285332.8696694,-4123686713.0959225
270,675.0,-1.0066472778355005e-05,-4026589111.342002,-4026944497.2027516
271,677.5,-9.814062725100133e-06,-3925625090.0400534,-3925936462.311696
