IR_normalized,I_normalized,case,parameter_set,phase_ratio_nRIR_over_n2I,t_fs
0.16021075678305668,0.0011488251871584712,120fs,P1_implemented,411.2169017397414,667.5
0.1469930919665589,0.000957939538739173,120fs,P1_implemented,452.4723649989745,670.0
0.1342315544052176,0.0007968507879846781,120fs,P1_implemented,496.71908433450113,672.5
0.12192987017339854,0.0006612575912777795,120fs,P1_implemented,543.7167019442446,675.0
0.11009040917370373,0.0005474180233157014,120fs,P1_implemented,593.0121985132165,677.5
0.09871425541560819,0.0004520872618590264,120fs,P1_implemented,643.8590982222786,680.0
0.08780127738150618,0.0003724604860216158,120fs,P1_implemented,695.1105211203134,682.5
0.07735019815350609,0.00030612084103604924,120fs,P1_implemented,745.0780445401751,685.0
0.06735866500825341,0.00025099227035180216,120fs,P1_implemented,791.3459017407956,687.5
0.05782331821905605,0.0002052969763803011,120fs,P1_implemented,830.5268752283515,690.0
0.04873985883458572,0.00016751724277710314,120fs,P1_implemented,857.94210900877,692.5
0.040103115231424596,0.00013636133243752986,120fs,P1_implemented,867.2016734405267,695.0
0.03190710826373128,0.0001107331650085688,120fs,P1_implemented,849.6556819419972,697.5
0.024145114857357885,8.97054743820551e-05,120fs,P1_implemented,793.6765737453148,700.0
0.016809729917919257,7.24961491112626e-05,120fs,P1_implemented,683.721175948215,702.5
0.009892926442670189,5.8447465862949764e-05,120fs,P1_implemented,499.10546738246126,705.0
0.0033861137446723174,4.7007936863681684e-05,120fs,P1_implemented,212.4044372394054,707.5
-0.0027198062852780078,3.771650591825214e-05,120fs,P1_implemented,-212.6374491798845,710.0
-0.008434384938040313,3.018884317608545e-05,120fs,P1_implemented,-823.834888542448,712.5
-0.01376757451190951,2.4105505714552595e-05,120fs,P1_implemented,-1684.125384229999,715.0
-0.01872967823718781,1.9201748616637754e-05,120fs,P1_implemented,-2876.2244259282584,717.5
-0.02333130232052976,1.5258789062500007e-05,120fs,P1_implemented,-4508.70836720506,720.0
-0.02758331011976812,1.2096343638445882e-05,120fs,P1_implemented,-6723.965858303238,722.5
-0.03149677845071406,9.566276282376483e-06,120fs,P1_implemented,-9708.596448914284,725.0
-0.035082956019183674,7.547210794021428e-06,120fs,P1_implemented,-13707.016397342139,727.5
-0.03835322396415261,5.939977466861275e-06,120fs,P1_implemented,-19039.270860072,730.0
-0.04131905849140533,4.663778026766443e-06,120fs,P1_implemented,-26124.36713292899,732.5
-0.0439919955712552,3.652966616434359e-06,120fs,P1_implemented,-35510.86022995187,735.0
-0.046383597668800035,2.8543570094249043e-06,120fs,P1_implemented,-47916.97272642833,737.5
-0.04850542247068516,2.224977568771578e-06,120fs,P1_implemented,-64283.25923682153,740.0
-0.050368993568417605,1.7302057032588867e-06,120fs,P1_implemented,-85841.79043815614,742.5
-0.051985773054859775,1.3422227588262222e-06,120fs,P1_implemented,-114207.10986818367,745.0
-0.053367135987583525,1.03873846643432e-06,120fs,P1_implemented,-151495.91243929288,747.5
-0.05452434667024419,8.019413139855491e-07,120fs,P1_implemented,-200484.64502923208,750.0
-0.05546853670100071,6.176375874553556e-07,120fs,P1_implemented,-264817.22142790357,752.5
-0.056210684735228555,4.745474073144675e-07,120fs,P1_implemented,-349279.02340989414,755.0
-0.05676159790831548,3.637309433804842e-07,120fs,P1_implemented,-460158.6573707531,757.5
-0.05713189486316815,2.7812219609644717e-07,120fs,P1_implemented,-605725.9945152676,760.0
-0.05733199032616403,2.1215135402287335e-07,120fs,P1_implemented,-796864.435247756,762.5
-0.05737208117463592,1.6143984162055177e-07,120fs,P1_implemented,-1047907.9006567592,765.0
-0.05726213393855308,1.225548195077158e-07,120fs,P1_implemented,-1377749.8331338349,767.5
-0.057011873678845255,9.281214791970836e-08,120fs,P1_implemented,-1811313.9171424496,770.0
-0.056630774184785335,7.011872480215288e-08,120fs,P1_implemented,-2381506.234741772,772.5
-0.05612804943298731,5.2846709609159943e-08,120fs,P1_implemented,-3131808.7353709303,775.0
-0.055512646250873404,3.9733484387680486e-08,120fs,P1_implemented,-4119727.7033054167,777.5
-0.05479323812790406,2.9802322387695088e-08,120fs,P1_implemented,-5421383.026271705,780.0
-0.05397822011843401,2.229966413613205e-08,120fs,P1_implemented,-7137620.796950829,782.5
-0.05307570478074544,1.6645670463565637e-08,120fs,P1_implemented,-9402161.581319353,785.0
-0.052093519097603895,1.23953564489389e-08,120fs,P1_implemented,-12392470.955374219,787.5
-0.051039202324574096,9.2081313276983e-09,120fs,P1_implemented,-16344272.972086087,790.0
-0.049920004713311344,6.8239957250840725e-09,120fs,P1_implemented,-21570941.692876317,792.5
-0.04874288705810129,5.0449950506421775e-09,120fs,P1_implemented,-28489428.532196444,795.0
-0.04751452101504702,3.7208100529394286e-09,120fs,P1_implemented,-37654951.19298586,797.5
-0.04624129014449107,2.737593822694539e-09,120fs,P1_implemented,-49807433.4806641,800.0
-0.04492929162850241,2.009348567122817e-09,120fs,P1_implemented,-65933711.46045183,802.5
-0.04358433861654856,1.4712833077729758e-09,120fs,P1_implemented,-87350900.32126452,805.0
-0.04221196315380332,1.074711982303251e-09,120fs,P1_implemented,-115818168.4505669,807.5
-0.040817419647905806,7.831458144390163e-10,120fs,P1_implemented,-153686651.6005684,810.0
-0.03940568883137973,5.693088411580083e-10,120fs,P1_implemented,-204100575.18575275,812.5
-0.03798148217833852,4.1286491882156547e-10,120fs,P1_implemented,-271267121.7933659,815.0
-0.0365492467355357,2.9869145156786954e-10,120fs,P1_implemented,-360818561.41338694,817.5
-0.035113170329267106,2.1557200520468977e-10,120fs,P1_implemented,-480298151.3670494,820.0
-0.03367718711108665,1.552089233893768e-10,120fs,P1_implemented,-639811963.9530393,822.5
-0.03224498340675641,1.1147969410505251e-10,120fs,P1_implemented,-852902962.2023852,825.0
-0.030820003834310442,7.987844599585711e-11,120fs,P1_implemented,-1137722415.0116875,827.5
-0.029405457658567027,5.7097645922849885e-11,120fs,P1_implemented,-1518598523.4004624,830.0
-0.028004325350871256,4.0715667201971284e-11,120fs,P1_implemented,-2028134683.2467754,832.5
-0.026619365324286562,2.8964075153470983e-11,120fs,P1_implemented,-2710012313.5054617,835.0
-0.025253120815876842,2.055476578078545e-11,120fs,P1_implemented,-3622728247.311287,837.5
-0.02390792688912714,1.4551915228366858e-11,120fs,P1_implemented,-4844567332.084269,840.0
-0.02258591753093786,1.027738289039278e-11,120fs,P1_implemented,-6480200370.270971,842.5
-0.021289032818993334,7.2410187883676675e-12,120fs,P1_implemented,-8669408962.873644,845.0
-0.020019026136647345,5.0894584002464904e-12,120fs,P1_implemented,-11598574355.598785,847.5
-0.018777471413784427,3.568602870178091e-12,120fs,P1_implemented,-15515726743.391071,850.0
-0.01756577037340477,2.496201437370547e-12,120fs,P1_implemented,-20750129219.41032,852.5
-0.0163851597649401,1.7418702203914384e-12,120fs,P1_implemented,-27737551354.791805,855.0
-0.015236718566537463,1.212569713979499e-12,120fs,P1_implemented,-37052538092.23265,857.5
-0.014121375139745386,8.420781453308188e-13,120fs,P1_implemented,-49449035776.58815,860.0
-0.013039914321201777,5.833817413434957e-13,120fs,P1_implemented,-65910580814.75318,862.5
-0.011992984437054146,4.0318839728668326e-13,120fs,P1_implemented,-87710679935.7904,865.0
-0.01098110422693938,2.7798283259668494e-13,120fs,P1_implemented,-116482657681.59106,867.5
-0.01000466966541183,1.911977086032739e-13,120fs,P1_implemented,-154295515510.63257,870.0
-0.009063960669734332,1.3119042752725332e-13,120fs,P1_implemented,-203727238466.1369,872.5
-0.008159147683936645,8.980000657794063e-14,120fs,P1_implemented,-267917855896.62268,875.0
-0.007290298129999204,6.132045187752653e-14,120fs,P1_implemented,-350568730158.23364,877.5
-0.0064573827179370815,4.177236667929939e-14,120fs,P1_implemented,-455827663974.7605,880.0
-0.005660281607439513,2.8387527869715803e-14,120fs,P1_implemented,-587954472374.4932,882.5
-0.004898790414564181,1.9245128824776616e-14,120fs,P1_implemented,-750587400788.7037,885.0
-0.004172626057792999,1.3015738916557359e-14,120fs,P1_implemented,-945309169827.5085,887.5
-0.0034814324385274405,8.78155834932151e-15,120fs,P1_implemented,-1169013734279.6252,890.0
-0.002824785951836895,5.910566544026804e-15,120fs,P1_implemented,-1409255267734.956,892.5
-0.002202200823973483,3.968637100116144e-15,120fs,P1_implemented,-1636246633924.2822,895.0
-0.0016131342738315464,2.6583271188893376e-15,120fs,P1_implemented,-1789350134202.6482,897.5
-0.0010569914961603352,1.7763568394002396e-15,120fs,P1_implemented,-1754585411691.5776,900.0
-0.000533130464934599,1.1841501113081035e-15,120fs,P1_implemented,-1327577775780.7986,902.5
-4.086655585061692e-05,7.874773384505512e-16,120fs,P1_implemented,-153025288290.96655,905.0
0.00042052301255477304,5.224252104919578e-16,120fs,P1_implemented,2373552673312.8267,907.5
0.0008517949191666048,3.457521942246996e-16,120fs,P1_implemented,7264459947695.952,910.0
0.0012537356614734864,2.2827614007092416e-16,120fs,P1_implemented,16194915713863.168,912.5
0.001627157656770296,1.5035256894356482e-16,120fs,P1_implemented,31911852398833.062,915.0
0.0019728955220772544,9.879067261837052e-17,120fs,P1_implemented,58887264178953.26,917.5000000000001
0.0022918025310933437,6.475536993156416e-17,120fs,P1_implemented,104360136703630.02,919.9999999999999
0.0025847472461527133,4.234385483205378e-17,120fs,P1_implemented,179995199489024.06,922.5
0.002852610322830575,2.762229457232535e-17,120fs,P1_implemented,304520076621589.06,925.0
0.0030962814845493006,1.7975619629006492e-17,120fs,P1_implemented,507913550475934.0,927.5
0.003316656664265043,1.1669782019242654e-17,120fs,P1_implemented,838052074968237.4,930.0000000000001
0.0035146353100693564,7.557817053998129e-18,120fs,P1_implemented,1371251533075538.5,932.4999999999999
0.003691117851318056,4.882977951005986e-18,120fs,P1_implemented,2228981078395501.5,935.0
0.003847003321699987,3.1472258401824996e-18,120fs,P1_implemented,3604357716768278.0,937.5
0.0039831871354806415,2.023605310361347e-18,120fs,P1_implemented,5804143396617639.0,940.0
0.0041005590129986405,1.2980112885201668e-18,120fs,P1_implemented,9315321113417564.0,942.5000000000001
0.004200001051356167,8.305884458501221e-19,120fs,P1_implemented,1.4910655868915086e+16,944.9999999999999
0.0042823859361265605,5.302101756986332e-19,120fs,P1_implemented,2.3816118309225156e+16,947.5
0.004348575289802548,3.376486271725567e-19,120fs,P1_implemented,3.797652641377103e+16,950.0
0.0043994181526261274,2.1450463219768147e-19,120fs,P1_implemented,6.047721738059716e+16,952.5
0.0044357495913750905,1.3594496241433342e-19,120fs,P1_implemented,9.621374859218002e+16,955.0000000000001
0.004458389431630594,8.594969101555631e-20,120fs,P1_implemented,1.529561396217715e+17,957.4999999999999
0.0,5.42101086242753e-20,120fs,P2_TR_T2,0.0,0.0
1.8961334580634754e-25,8.594969101555631e-20,120fs,P2_TR_T2,6.5051574879361e-06,2.5
6.798446119579708e-25,1.3594496241433633e-19,120fs,P2_TR_T2,1.4746188266320423e-05,5.0
1.6455441994085597e-24,2.1450463219768604e-19,120fs,P2_TR_T2,2.2620703648641632e-05,7.5
