E_dep_cumulative_J,E_dep_fraction,U0_J,case,x_focus_cm,z_m
2.4443696133857884e-07,0.00011256540106159239,0.00217151059769094,popruzhenko,-45.94000101089477,0.49059998989105225
2.445420648200525e-07,0.00011261380215232867,0.00217151059769094,popruzhenko,-45.92999935150146,0.49070000648498535
2.4464722514494497e-07,0.00011266222941996637,0.00217151059769094,popruzhenko,-45.920000672340386,0.49079999327659607
2.447524138915469e-07,0.00011271066977605479,0.00217151059769094,popruzhenko,-45.909999012947075,0.4909000098705292
2.4485763105985825e-07,0.00011275912322059392,0.00217151059769094,popruzhenko,-45.900000333786004,0.4909999966621399
2.4496290507158847e-07,0.00011280760284203448,0.00217151059769094,popruzhenko,-45.88999867439269,0.491100013256073
2.4506823592673754e-07,0.00011285610864037646,0.00217151059769094,popruzhenko,-45.87999999523162,0.4912000000476837
2.451735667818866e-07,0.00011290461443871845,0.00217151059769094,popruzhenko,-45.87000131607055,0.49129998683929443
2.45278982902164e-07,0.00011295315950241257,0.00217151059769094,popruzhenko,-45.85999965667724,0.49140000343322754
2.453844274441508e-07,0.0001130017176545574,0.00217151059769094,popruzhenko,-45.85000097751617,0.49149999022483826
2.45489900407847e-07,0.00011305028889515295,0.00217151059769094,popruzhenko,-45.83999931812286,0.49160000681877136
2.455954017932527e-07,0.00011309887322419921,0.00217151059769094,popruzhenko,-45.830000638961785,0.4916999936103821
2.4570098844378663e-07,0.00011314749681859762,0.00217151059769094,popruzhenko,-45.819998979568474,0.4918000102043152
2.458065750943206e-07,0.00011319612041299601,0.00217151059769094,popruzhenko,-45.8100003004074,0.4918999969959259
2.459122185882734e-07,0.00011324477018429584,0.00217151059769094,popruzhenko,-45.79999864101409,0.492000013589859
2.4601791892564506e-07,0.00011329344613249709,0.00217151059769094,popruzhenko,-45.78999996185302,0.4921000003814697
2.4612364768472617e-07,0.00011334213516914905,0.00217151059769094,popruzhenko,-45.78000128269195,0.49219998717308044
2.462294048655167e-07,0.00011339083729425174,0.00217151059769094,popruzhenko,-45.76999962329864,0.49230000376701355
2.463352188897261e-07,0.00011343956559625583,0.00217151059769094,popruzhenko,-45.760000944137566,0.49239999055862427
2.4644108975735435e-07,0.00011348832007516137,0.00217151059769094,popruzhenko,-45.749999284744256,0.4925000071525574
2.4654698904669203e-07,0.0001135370876425176,0.00217151059769094,popruzhenko,-45.740000605583184,0.4925999939441681
2.4665291675773915e-07,0.00011358586829832456,0.00217151059769094,popruzhenko,-45.72999894618987,0.4927000105381012
2.467589013122051e-07,0.00011363467513103294,0.00217151059769094,popruzhenko,-45.7200002670288,0.4927999973297119
2.4686494271008996e-07,0.00011368350814064275,0.00217151059769094,popruzhenko,-45.70999860763549,0.492900013923645
2.4697101252968423e-07,0.00011373235423870326,0.00217151059769094,popruzhenko,-45.69999992847442,0.49300000071525574
2.4707711077098793e-07,0.0001137812134252145,0.00217151059769094,popruzhenko,-45.69000124931335,0.49309998750686646
2.471832658557105e-07,0.00011383009878862715,0.00217151059769094,popruzhenko,-45.67999958992004,0.49320000410079956
2.472894777838519e-07,0.00011387901032894123,0.00217151059769094,popruzhenko,-45.670000910758965,0.4932999908924103
2.4739571813370276e-07,0.00011392793495770603,0.00217151059769094,popruzhenko,-45.659999251365655,0.4934000074863434
2.4750198690526304e-07,0.00011397687267492154,0.00217151059769094,popruzhenko,-45.65000057220458,0.4934999942779541
2.476083125202422e-07,0.00011402583656903848,0.00217151059769094,popruzhenko,-45.63999891281127,0.4936000108718872
2.4771466655693075e-07,0.00011407481355160612,0.00217151059769094,popruzhenko,-45.6300002336502,0.4936999976634979
2.478210774370382e-07,0.0001141238167110752,0.00217151059769094,popruzhenko,-45.61999857425689,0.49380001425743103
2.479275451605645e-07,0.0001141728460474457,0.00217151059769094,popruzhenko,-45.60999989509582,0.49390000104904175
2.480340413058002e-07,0.00011422188847226691,0.00217151059769094,popruzhenko,-45.600001215934746,0.49399998784065247
2.4814056587274536e-07,0.00011427094398553884,0.00217151059769094,popruzhenko,-45.589999556541436,0.49410000443458557
2.4824714728310937e-07,0.00011432002567571218,0.00217151059769094,popruzhenko,-45.580000877380364,0.4941999912261963
2.4835378553689225e-07,0.00011436913354278697,0.00217151059769094,popruzhenko,-45.56999921798705,0.4943000078201294
2.4846045221238455e-07,0.00011441825449831245,0.00217151059769094,popruzhenko,-45.56000053882598,0.4943999946117401
2.485671757312957e-07,0.00011446740163073937,0.00217151059769094,popruzhenko,-45.54999887943267,0.4945000112056732
2.486739276719163e-07,0.000114516561851617,0.00217151059769094,popruzhenko,-45.5400002002716,0.49459999799728394
2.4878070803424635e-07,0.00011456573516094534,0.00217151059769094,popruzhenko,-45.52999854087829,0.49470001459121704
2.4888757366170466e-07,0.00011461494773562582,0.00217151059769094,popruzhenko,-45.51999986171722,0.49480000138282776
2.48994439289163e-07,0.0001146641603103063,0.00217151059769094,popruzhenko,-45.510001182556145,0.4948999881744385
2.491013901817496e-07,0.00011471341215033892,0.00217151059769094,popruzhenko,-45.499999523162835,0.4950000047683716
2.4920836949604563e-07,0.00011476267707882225,0.00217151059769094,popruzhenko,-45.49000084400176,0.4950999915599823
2.493153772320511e-07,0.00011481195509575629,0.00217151059769094,popruzhenko,-45.47999918460845,0.4952000081539154
2.4942244181147544e-07,0.00011486125928959176,0.00217151059769094,popruzhenko,-45.47000050544738,0.4952999949455261
2.495295348126092e-07,0.00011491057657187795,0.00217151059769094,popruzhenko,-45.45999884605407,0.49540001153945923
2.4963671307887125e-07,0.00011495993311951627,0.00217151059769094,popruzhenko,-45.450000166893,0.49549999833106995
2.497438913451333e-07,0.0001150092896671546,0.00217151059769094,popruzhenko,-45.44000148773193,0.49559998512268066
2.498511264548142e-07,0.00011505867239169433,0.00217151059769094,popruzhenko,-45.429999828338616,0.49570000171661377
2.49958418407914e-07,0.00011510808129313551,0.00217151059769094,popruzhenko,-45.420001149177544,0.4957999885082245
2.500657387827232e-07,0.0001151575032830274,0.00217151059769094,popruzhenko,-45.409999489784234,0.4959000051021576
2.5017311600095127e-07,0.00011520695144982071,0.00217151059769094,popruzhenko,-45.40000081062316,0.4959999918937683
2.502805500625982e-07,0.00011525642579351545,0.00217151059769094,popruzhenko,-45.38999915122985,0.4961000084877014
2.5038801254595455e-07,0.0001153059132256609,0.00217151059769094,popruzhenko,-45.38000047206878,0.49619999527931213
2.5049550345102034e-07,0.00011535541374625706,0.00217151059769094,popruzhenko,-45.36999881267547,0.49630001187324524
2.50603051199505e-07,0.00011540494044375466,0.00217151059769094,popruzhenko,-45.3600001335144,0.49639999866485596
2.507106557914085e-07,0.00011545449331815367,0.00217151059769094,popruzhenko,-45.350001454353325,0.4964999854564667
2.5081831722673087e-07,0.00011550407236945411,0.00217151059769094,popruzhenko,-45.339999794960015,0.4966000020503998
2.5092600708376267e-07,0.00011555366450920527,0.00217151059769094,popruzhenko,-45.33000111579894,0.4966999888420105
2.510337253625039e-07,0.00011560326973740713,0.00217151059769094,popruzhenko,-45.31999945640563,0.4968000054359436
2.51141500484664e-07,0.00011565290114251042,0.00217151059769094,popruzhenko,-45.31000077724456,0.4968999922275543
2.5124933245024295e-07,0.00011570255872451514,0.00217151059769094,popruzhenko,-45.29999911785125,0.4970000088214874
2.5135719283753133e-07,0.00011575222939497057,0.00217151059769094,popruzhenko,-45.29000043869018,0.49709999561309814
2.5146511006823857e-07,0.00011580192624232742,0.00217151059769094,popruzhenko,-45.27999877929687,0.49720001220703125
2.515730841423647e-07,0.00011585164926658571,0.00217151059769094,popruzhenko,-45.270000100135796,0.49729999899864197
2.516810866382002e-07,0.0001159013853792947,0.00217151059769094,popruzhenko,-45.260001420974724,0.4973999857902527
2.517891459774546e-07,0.00011595114766890513,0.00217151059769094,popruzhenko,-45.249999761581414,0.4975000023841858
2.5189723373841844e-07,0.00011600092304696627,0.00217151059769094,popruzhenko,-45.24000108242034,0.4975999891757965
2.520053783428011e-07,0.00011605072460192882,0.00217151059769094,popruzhenko,-45.22999942302703,0.4977000057697296
2.5211357979060267e-07,0.00011610055233379281,0.00217151059769094,popruzhenko,-45.22000074386596,0.49779999256134033
2.5222180966011365e-07,0.00011615039315410751,0.00217151059769094,popruzhenko,-45.20999908447265,0.49790000915527344
2.523300963730435e-07,0.00011620026015132364,0.00217151059769094,popruzhenko,-45.20000040531158,0.49799999594688416
2.5243841150768276e-07,0.00011625014023699047,0.00217151059769094,popruzhenko,-45.18999874591827,0.49810001254081726
2.525468119074503e-07,0.00011630005958800945,0.00217151059769094,popruzhenko,-45.180000066757195,0.498199999332428
2.526552123072179e-07,0.00011634997893902843,0.00217151059769094,popruzhenko,-45.17000138759612,0.4982999861240387
2.5276369797211373e-07,0.00011639993755539954,0.00217151059769094,popruzhenko,-45.15999972820281,0.4984000027179718
2.52872212058719e-07,0.00011644990926022136,0.00217151059769094,popruzhenko,-45.15000104904174,0.4984999895095825
2.5298078298874316e-07,0.00011649990714194462,0.00217151059769094,popruzhenko,-45.13999938964843,0.4986000061035156
2.5308938234047673e-07,0.00011654991811211858,0.00217151059769094,popruzhenko,-45.13000071048736,0.49869999289512634
2.5319803853562917e-07,0.00011659995525919398,0.00217151059769094,popruzhenko,-45.11999905109405,0.49880000948905945
2.5330675157420046e-07,0.0001166500185831708,0.00217151059769094,popruzhenko,-45.110000371932976,0.49889999628067017
2.534154930344812e-07,0.00011670009499559833,0.00217151059769094,popruzhenko,-45.099998712539666,0.49900001287460327
2.535242913381808e-07,0.00011675019758492728,0.00217151059769094,popruzhenko,-45.090000033378594,0.499099999666214
2.536331464852992e-07,0.00011680032635115767,0.00217151059769094,popruzhenko,-45.08000135421752,0.4991999864578247
2.537420300541271e-07,0.00011685046820583876,0.00217151059769094,popruzhenko,-45.06999969482421,0.4993000030517578
2.5385099888808327e-07,0.000116900649325872,0.00217151059769094,popruzhenko,-45.06000101566314,0.49939998984336853
2.5395996772203944e-07,0.00011695083044590524,0.00217151059769094,popruzhenko,-45.04999935626983,0.49950000643730164
2.540690218211239e-07,0.0001170010508312906,0.00217151059769094,popruzhenko,-45.04000067710876,0.49959999322891235
2.541781043419178e-07,0.00011705128430512668,0.00217151059769094,popruzhenko,-45.02999901771545,0.49970000982284546
2.5428724370613054e-07,0.0001171015439558642,0.00217151059769094,popruzhenko,-45.020000338554375,0.4997999966144562
2.543964114920527e-07,0.00011715181669505242,0.00217151059769094,popruzhenko,-45.009998679161065,0.4999000132083893
2.545056645431032e-07,0.00011720212869959279,0.00217151059769094,popruzhenko,-44.99999999999999,0.5
2.5461491759415367e-07,0.00011725244070413315,0.00217151059769094,popruzhenko,-44.98999834060668,0.5001000165939331
2.5472425591033243e-07,0.00011730279197402565,0.00217151059769094,popruzhenko,-44.98000264167785,0.5001999735832214
2.548336226482206e-07,0.00011735315633236887,0.00217151059769094,popruzhenko,-44.97000098228454,0.5002999901771545
2.549430746512371e-07,0.00011740355995606422,0.00217151059769094,popruzhenko,-44.95999932289123,0.5004000067710876
2.550525266542536e-07,0.00011745396357975958,0.00217151059769094,popruzhenko,-44.94999766349792,0.5005000233650208
2.551620639223984e-07,0.00011750440646880706,0.00217151059769094,popruzhenko,-44.940001964569085,0.5005999803543091
2.552716296122526e-07,0.00011755486244630527,0.00217151059769094,popruzhenko,-44.930000305175774,0.5006999969482422
2.5538125214552565e-07,0.0001176053446007049,0.00217151059769094,popruzhenko,-44.919998645782464,0.5008000135421753
2.554909315222176e-07,0.00011765585293200596,0.00217151059769094,popruzhenko,-44.91000294685363,0.5008999705314636
2.5560063932061894e-07,0.00011770637435175772,0.00217151059769094,popruzhenko,-44.90000128746032,0.5009999871253967
2.5571040396243916e-07,0.00011775692194841093,0.00217151059769094,popruzhenko,-44.88999962806701,0.5011000037193298
2.5582022544767824e-07,0.00011780749572196554,0.00217151059769094,popruzhenko,-44.8799979686737,0.5012000203132629
